EmployeeID,FirstName,LastName,Email,Department,JobTitle,Level,RegionCode,HireDate,AnnualSalary,BonusPct,WorkMode,ManagerID,LastReviewScore
EMP-2001,Hana,Petrov,hana.petrov@northwind-analytics.example,Operations,Ops Manager,L4,DACH,2018-06-11,103100,0.003,Onsite,,2.5
EMP-2002,Sana,Zimmerman,sana.zimmerman@northwind-analytics.example,Marketing,Brand Designer,L3,APAC-S,2017-09-03,101400,0.076,Remote,EMP-2017,3.5
EMP-2003,Uma,Bakker,uma.bakker@northwind-analytics.example,Finance,AP Specialist,L1,NA-E,2016-01-25,61000,0.195,Onsite,EMP-2039,2.3
EMP-2004,Liam,Iversen,liam.iversen@northwind-analytics.example,Engineering,QA Engineer,L2,NA-W,2023-12-12,114600,0.247,Onsite,,4.6
EMP-2005,Paulo,Haddad,paulo.haddad@northwind-analytics.example,Engineering,SRE,L2,NA-E,2023-04-09,114800,0.056,Onsite,EMP-2012,4.4
EMP-2006,Chen,Kaur,chen.kaur@northwind-analytics.example,Finance,AP Specialist,L1,NA-W,2020-05-01,61000,0.165,Hybrid,,4.0
EMP-2007,Ines,Okafor,ines.okafor@northwind-analytics.example,Operations,Logistics Coordinator,L3,NA-E,2023-04-10,84800,0.105,Remote,EMP-2003,4.1
EMP-2008,Ines,Andersen,ines.andersen@northwind-analytics.example,Engineering,SRE,L1,UKI,2023-08-31,82000,0.204,Remote,,4.9
EMP-2009,Omar,Khan,omar.khan@northwind-analytics.example,People,Recruiter,L1,DACH,2015-05-09,52000,0.081,Hybrid,,3.7
EMP-2010,Ivan,Laurent,ivan.laurent@northwind-analytics.example,Operations,Operations Analyst,L3,DACH,2015-11-12,90800,0.069,Onsite,,4.8
EMP-2011,Olga,Carvalho,olga.carvalho@northwind-analytics.example,Sales,Sales Manager,L2,UKI,2019-03-27,86400,0.069,Remote,EMP-2020,4.7
EMP-2012,Liam,Dahl,liam.dahl@northwind-analytics.example,Support,Support Specialist,L3,NA-E,2015-05-17,71500,0.05,Onsite,EMP-2024,3.4
EMP-2013,Felix,Delgado,felix.delgado@northwind-analytics.example,Marketing,Demand Gen Manager,L4,APAC-N,2023-06-07,121300,0.17,Onsite,EMP-2024,2.8
EMP-2014,Mei,Wang,mei.wang@northwind-analytics.example,Support,Support Lead,L4,LATAM,2024-04-15,94100,0.126,Onsite,,2.2
EMP-2015,Yara,Lindqvist,yara.lindqvist@northwind-analytics.example,Support,Support Lead,L4,NA-E,2019-04-02,94400,0.209,Hybrid,EMP-2037,3.5
EMP-2016,Hana,Quintero,hana.quintero@northwind-analytics.example,Engineering,QA Engineer,L3,UKI,2014-12-22,150900,0.236,Hybrid,EMP-2006,2.7
EMP-2017,Elena,Yilmaz,elena.yilmaz@northwind-analytics.example,Sales,Sales Manager,L1,DACH,2018-09-25,58000,0.226,Hybrid,EMP-2005,3.4
EMP-2018,Omar,Nakamura,omar.nakamura@northwind-analytics.example,Operations,Operations Analyst,L3,APAC-N,2022-08-06,86700,0.13,Remote,,3.7
EMP-2019,Uma,Laurent,uma.laurent@northwind-analytics.example,Operations,Operations Analyst,L3,UKI,2014-10-29,89300,0.133,Onsite,EMP-2020,2.5
EMP-2020,Darius,Jensen,darius.jensen@northwind-analytics.example,Finance,Financial Analyst,L1,LATAM,2025-03-25,61000,0.24,Onsite,,4.7
EMP-2021,Rosa,Singh,rosa.singh@northwind-analytics.example,Marketing,Content Strategist,L1,UKI,2022-03-01,54000,0.146,Hybrid,,3.7
EMP-2022,Amara,Alvarez,amara.alvarez@northwind-analytics.example,Engineering,QA Engineer,L2,UKI,2021-03-26,113800,0.07,Onsite,,3.5
EMP-2023,Sana,Bakker,sana.bakker@northwind-analytics.example,Marketing,Demand Gen Manager,L3,UKI,2015-06-22,102700,0.123,Hybrid,EMP-2016,3.6
EMP-2024,Tariq,Wang,tariq.wang@northwind-analytics.example,Engineering,Engineering Manager,L5,APAC-S,2023-01-16,199300,0.0,Remote,EMP-2017,4.7
EMP-2025,Ada,Delgado,ada.delgado@northwind-analytics.example,Finance,Financial Analyst,L1,NORDIC,2019-08-07,61000,0.151,Hybrid,EMP-2001,3.3
EMP-2026,Darius,Quintero,darius.quintero@northwind-analytics.example,Marketing,Demand Gen Manager,L3,NA-W,2025-06-27,95500,0.114,Hybrid,,3.3
EMP-2027,Olga,Dahl,olga.dahl@northwind-analytics.example,People,Recruiter,L5,LATAM,2024-05-18,136600,0.048,Remote,EMP-2039,3.8
EMP-2028,Hugo,Bennett,hugo.bennett@northwind-analytics.example,Finance,Financial Analyst,L2,APAC-S,2019-09-28,86500,0.109,Hybrid,EMP-2025,3.4
EMP-2029,Aria,Jensen,aria.jensen@northwind-analytics.example,Marketing,Content Strategist,L4,NA-W,2022-11-17,112200,0.25,Hybrid,,2.6
EMP-2030,Darius,Delgado,darius.delgado@northwind-analytics.example,Operations,Logistics Coordinator,L3,APAC-N,2015-12-02,89300,0.195,Hybrid,EMP-2006,4.5
EMP-2031,Camila,Alvarez,camila.alvarez@northwind-analytics.example,Sales,Sales Manager,L4,NA-W,2017-05-25,142600,0.036,Hybrid,EMP-2008,2.4
EMP-2032,Olga,Khan,olga.khan@northwind-analytics.example,Engineering,Engineering Manager,L1,LATAM,2024-07-04,82000,0.079,Hybrid,,2.5
EMP-2033,Samir,Vargas,samir.vargas@northwind-analytics.example,Engineering,QA Engineer,L1,APAC-N,2025-04-15,82000,0.068,Onsite,EMP-2005,2.6
EMP-2034,Lucia,Fontaine,lucia.fontaine@northwind-analytics.example,Engineering,QA Engineer,L4,LATAM,2017-06-03,183900,0.073,Hybrid,,2.7
EMP-2035,Bruno,Novak,bruno.novak@northwind-analytics.example,Finance,Controller,L1,NA-E,2016-07-06,61000,0.031,Remote,,2.3
EMP-2036,Zara,Vogel,zara.vogel@northwind-analytics.example,Support,Support Lead,L2,DACH,2019-10-11,59600,0.024,Onsite,EMP-2027,3.5
EMP-2037,Rania,Andersen,rania.andersen@northwind-analytics.example,Finance,AP Specialist,L2,DACH,2024-06-25,87400,0.192,Remote,,3.8
EMP-2038,Ada,Okafor,ada.okafor@northwind-analytics.example,Support,Support Specialist,L4,LATAM,2016-07-04,92500,0.222,Onsite,EMP-2026,2.6
EMP-2039,Nikolai,Vogel,nikolai.vogel@northwind-analytics.example,Support,Support Specialist,L1,APAC-N,2017-04-03,42000,0.091,Hybrid,,4.3
EMP-2040,Elena,Singh,elena.singh@northwind-analytics.example,People,People Ops Coordinator,L2,LATAM,2024-03-28,74800,0.027,Hybrid,EMP-2035,3.9
EMP-2041,Aria,Toure,aria.toure@northwind-analytics.example,Finance,AP Specialist,L2,NORDIC,2023-12-26,82800,0.011,Onsite,,3.0
EMP-2042,Camila,Vargas,camila.vargas@northwind-analytics.example,People,HR Business Partner,L2,APAC-N,2021-05-18,73000,0.149,Remote,,4.6
EMP-2043,Sana,Laurent,sana.laurent@northwind-analytics.example,Sales,Account Executive,L3,DACH,2024-01-26,108600,0.135,Remote,,2.2
EMP-2044,Ravi,Lindqvist,ravi.lindqvist@northwind-analytics.example,Engineering,SRE,L3,NORDIC,2017-08-20,155300,0.033,Hybrid,,2.7
EMP-2045,Hugo,Wang,hugo.wang@northwind-analytics.example,Operations,Operations Analyst,L2,NORDIC,2018-05-27,67900,0.032,Remote,EMP-2003,3.9
