ContactID,FullName,Email,Phone,JoinDate,LifetimeSpend,OptedIn,Region
C0001,  IVAN ZHANG ,Ivan.Zhang66@Outlook.COM,6470554455,,42594 USD,yes,uki
C0002,  AMARA VARGAS ,Amara.Vargas30@gmail.com,,,38597.52,yes,NA-E
C0003,Sana  Nakamura,Sana.Nakamura35@Outlook.COM,468.320.2968,2022-02-20,"$31,656.91",N, NA-W
C0004,Thea  Bennett,Thea.Bennett94@gmail.com,3645041186,09-May-25,25400.67,N, NA-W
C0005,  ELENA FONTAINE ,Elena.Fontaine74@yahoo.co.uk,730.940.3613,17-May-25,39398 USD,yes,uki
C0006,Samir  Dahl,Samir.Dahl71@gmail.com,,2024-02-16,"$44,539.66",N,UKI
C0007,Nikolai Weber,Nikolai.Weber24@gmail.com,9568010396,11-Dec-24,10276 USD,yes,UKI
C0008,Greta Garcia,Greta.Garcia61@Outlook.COM,6994904907,2022-08-19,"$39,765.94",yes,uki
C0009,"Fontaine, Omar",Omar.Fontaine36@yahoo.co.uk,7105212474,2023-04-03,n/a,FALSE,APAC-N
C0010,Zara Zimmerman,Zara.Zimmerman20@gmail.com,8878632989,04-Apr-23,19120.74,N,uki
C0011,Viktor  Okafor,Viktor.Okafor38@yahoo.co.uk,+1-824-632-1493,2025-02-06,n/a,Y,na-e
C0012,Zara  Khan,Zara.Khan62@Outlook.COM,(209) 200-5577,22-Mar-24,n/a,N, NA-W
C0013,"Zimmerman, Ada",Ada.Zimmerman20@proton.me,2254314496,03/16/2024,9463.80,yes,NA-E
C0014,Petra Petrov ,Petra.Petrov46@proton.me,,,"$44,145.45",N,APAC-N
C0015,Zara Abara ,Zara.Abara62@yahoo.co.uk,,24-Jan-24,n/a,FALSE, NA-W
C0016,Sana  Novak,Sana.Novak29@corp.example,2824968288,,3778 USD,Y,NA-E
C0017,"Rossi, Wei",Wei.Rossi16@proton.me,(680) 937-9680,05/04/2024,n/a,No,UKI
C0018,"Carvalho, Hana",Hana.Carvalho19@gmail.com,503.225.5374,2023-10-09,"$22,869.11",yes, NA-W
C0019,  OLGA SORENSEN ,Olga.Sorensen1@gmail.com,7879605641,05-Nov-24,"$49,915.82",,uki
C0020,Ada  Oyelaran,Ada.Oyelaran81@Outlook.COM,705.711.3667,2023-11-07,46658 USD,Y, NA-W
C0021,  EMEKA TOURE ,Emeka.Toure6@corp.example,713.375.1114,06/02/2022,24887 USD,Yes,APAC-N
C0022,  YUSUF KHAN ,Yusuf.Khan3@Outlook.COM,3263494393,01/10/2023,"$30,858.92",Y,NA-E
C0023,"Yilmaz, Nadia",Nadia.Yilmaz77@corp.example,(341) 411-4839,06/17/2023,18952 USD,TRUE,DACH
C0024,Felix  Hoffmann,Felix.Hoffmann69@gmail.com,(399) 727-6585,,n/a,Y,UKI
C0025,Emeka  Sandoval,Emeka.Sandoval1@gmail.com,(369) 757-9573,16-Jun-22,16930.68,TRUE,uki
C0026,  IVAN FONTAINE ,Ivan.Fontaine18@yahoo.co.uk,5803873412,2022-05-15,n/a,yes,uki
C0027,"Nakamura, Chen",Chen.Nakamura64@yahoo.co.uk,(529) 803-9201,2022-12-06,23169.15,No,uki
C0028,"Fontaine, Jonas",Jonas.Fontaine88@corp.example,5124055436,04/25/2025,"$23,495.52",Y,?
C0029,Elena  Carvalho,Elena.Carvalho55@gmail.com,795.996.4552,2023-11-30,35630.61,FALSE,UKI
C0030,Felix Carvalho ,Felix.Carvalho98@gmail.com,+1-751-926-3773,05/02/2024,"$31,868.40",no,NA-E
C0031,Jonas Moreau ,Jonas.Moreau71@Outlook.COM,(588) 237-4023,2024-08-19,7523 USD,,APAC-N
C0032,Yusuf Costa,Yusuf.Costa84@corp.example,6673211477,10-May-25,"$16,539.91",no,APAC-N
C0033,"Ibrahim, Amara",Amara.Ibrahim74@proton.me,+1-747-399-3288,2024-11-19,n/a,Yes, NA-W
C0034,Caleb Hoffmann,Caleb.Hoffmann34@corp.example,4230305147,06-Jul-24,17329.53,N,DACH
C0035,Mei Singh ,Mei.Singh4@gmail.com,(648) 448-7500,04/09/2025,10502 USD,N,?
C0036,  TARIQ COSTA ,Tariq.Costa11@Outlook.COM,(696) 878-1334,08-Jun-24,"$23,866.36",,uki
C0037,Kwame  Mbeki,Kwame.Mbeki45@proton.me,(790) 979-2452,12/06/2024,14579.03,Yes, NA-W
C0037,Kwame  Mbeki,Kwame.Mbeki45@proton.me,(790) 979-2452,12/06/2024,14579.03,Yes, NA-W
C0038,Yusuf  Tanaka,Yusuf.Tanaka18@proton.me,9799834329,2022-08-25,21389.43,N,uki
C0039,Nadia Nakamura,Nadia.Nakamura82@yahoo.co.uk,9245567159,30-Nov-23,"$2,075.00",,UKI
C0040,"Laurent, Zara",Zara.Laurent26@proton.me,263.225.3443,2023-07-14,765 USD,Y,NA-E
