OrderID,OrderDate,SKU,Category,RegionCode,Channel,Segment,SalesRep,Quantity,UnitPrice,Discount,NetRevenue,COGS,OrderStatus
ORD-101495,2023-01-01,SKU-1007,Laptops,UKI,Direct,Consumer,Yusuf Fontaine,3,1513.38,0,4540.14,3185.22,Shipped
ORD-104698,2023-01-01,SKU-1111,Accessories,NA-E,Online,SMB,Darius Kaur,9,118.52,0.15,906.68,456.03,Pending
ORD-104845,2023-01-01,SKU-1023,Monitors,UKI,Direct,Enterprise,Nikolai Jensen,7,1366.21,0,9563.47,6291.67,Shipped
ORD-100700,2023-01-02,SKU-1073,Networking,NA-E,Retail,Enterprise,Ada Zimmerman,2,347.65,0,695.3,452.84,Shipped
ORD-101714,2023-01-02,SKU-1025,Monitors,NA-W,Direct,Enterprise,Uma Sandoval,4,577.77,0.05,2195.53,1592.04,Shipped
ORD-103249,2023-01-02,SKU-1057,Peripherals,NA-E,Direct,Enterprise,Fatima Dahl,2,457.5,0,915.0,457.06,Shipped
ORD-103349,2023-01-02,SKU-1076,Networking,UKI,Direct,Mid-Market,Adaeze Marchetti,5,1719.15,0,8595.75,5146.4,Returned
ORD-104877,2023-01-02,SKU-1089,Storage,NA-E,Online,Consumer,Bruno Zhang,6,512.43,0.15,2613.39,2038.2,Shipped
ORD-100756,2023-01-03,SKU-1052,Peripherals,APAC-N,Direct,SMB,Bruno Zhang,9,310.49,0,2794.41,1433.52,Shipped
ORD-100766,2023-01-03,SKU-1100,Storage,DACH,Partner,Mid-Market,Malik Eriksen,18,754.71,0,13584.78,8997.48,Shipped
ORD-102260,2023-01-03,SKU-1023,Monitors,APAC-N,Online,Mid-Market,Darius Kaur,18,1366.21,0.05,23362.19,16178.58,Returned
ORD-100783,2023-01-04,SKU-1120,Accessories,UKI,Partner,Mid-Market,Emeka Weber,1,210.18,0,210.18,86.17,Shipped
ORD-101500,2023-01-04,SKU-1018,Laptops,LATAM,Online,Mid-Market,Elena Laurent,5,2719.05,0.2,10876.2,8869.85,Shipped
ORD-101654,2023-01-04,SKU-1044,Peripherals,APAC-S,Online,Consumer,Nikolai Jensen,1,42.05,0,42.05,21.28,Shipped
ORD-102119,2023-01-04,SKU-1016,Laptops,UKI,Partner,Mid-Market,Nadia Kowalski,3,3292.27,0,9876.81,6684.12,Pending
ORD-103529,2023-01-04,SKU-1002,Laptops,LATAM,Direct,SMB,Yara Eriksen,1,3368.08,0,3368.08,2299.73,Pending
ORD-103548,2023-01-04,SKU-1033,Monitors,UKI,Online,Enterprise,Darius Kaur,5,617.73,0,3088.65,2001.25,Pending
ORD-104949,2023-01-04,SKU-1009,Laptops,NA-W,Retail,Mid-Market,Nadia Kowalski,6,3341.5,0,20049.0,13911.48,Shipped
ORD-100070,2023-01-05,SKU-1079,Networking,UKI,Partner,Enterprise,Ivan Kaur,3,453.79,0.2,1089.1,860.28,Shipped
ORD-100122,2023-01-05,SKU-1081,Storage,UKI,Retail,SMB,Malik Andersen,2,427.43,0.1,769.37,591.56,Shipped
ORD-101244,2023-01-05,SKU-1052,Peripherals,NORDIC,Partner,Mid-Market,Hana Rossi,1,310.49,0.1,279.44,159.28,Shipped
ORD-104600,2023-01-05,SKU-1074,Networking,UKI,Retail,Mid-Market,Fatima Bennett,5,192.25,0.15,817.06,604.35,Shipped
ORD-101667,2023-01-06,SKU-1028,Monitors,NA-E,Direct,SMB,Emeka Weber,1,1296.45,0.05,1231.63,836.57,Shipped
ORD-103255,2023-01-06,SKU-1067,Networking,APAC-S,Partner,Mid-Market,Emeka Weber,2,254.78,0.2,407.65,307.52,Shipped
ORD-103545,2023-01-06,SKU-1075,Networking,UKI,Direct,SMB,Thea Delgado,1,1273.44,0,1273.44,736.87,Shipped
ORD-100911,2023-01-07,SKU-1096,Storage,UKI,Direct,Mid-Market,Wei Tanaka,1,924.54,0.05,878.31,664.98,Shipped
ORD-101000,2023-01-07,SKU-1043,Peripherals,NORDIC,Direct,Mid-Market,Nikolai Jensen,1,212.9,0.15,180.97,113.15,Shipped
ORD-103115,2023-01-07,SKU-1032,Monitors,NA-E,Retail,Mid-Market,Thea Zhang,3,929.07,0,2787.21,1756.47,Shipped
ORD-104250,2023-01-07,SKU-1028,Monitors,DACH,Partner,Consumer,Darius Kaur,6,1296.45,0.25,5834.03,5019.42,Shipped
ORD-102410,2023-01-08,SKU-1113,Accessories,NA-W,Retail,Mid-Market,Viktor Zhang,2,23.87,0,47.74,20.9,Returned
ORD-102682,2023-01-08,SKU-1072,Networking,NA-E,Direct,Consumer,Ada Zimmerman,9,593.71,0,5343.39,3343.32,Pending
ORD-103975,2023-01-08,SKU-1084,Storage,LATAM,Online,Consumer,Fatima Iversen,3,497.7,0,1493.1,1093.74,Shipped
ORD-104105,2023-01-08,SKU-1055,Peripherals,APAC-S,Online,Mid-Market,Fatima Dahl,7,77.77,0,544.39,274.26,Shipped
ORD-104324,2023-01-08,SKU-1065,Networking,LATAM,Direct,Enterprise,Paulo Carvalho,1,417.19,0.25,312.89,239.24,Pending
ORD-100383,2023-01-09,SKU-1052,Peripherals,DACH,Online,Mid-Market,Elena Laurent,11,310.49,0,3415.39,1752.08,Returned
ORD-100850,2023-01-09,SKU-1047,Peripherals,UKI,Online,Enterprise,Malik Kowalski,1,240.32,0,240.32,126.58,Shipped
ORD-101918,2023-01-09,SKU-1008,Laptops,NORDIC,Partner,SMB,Ada Zimmerman,1,2860.19,0.05,2717.18,1989.93,Returned
ORD-103531,2023-01-09,SKU-1063,Networking,NA-E,Partner,Enterprise,Yusuf Fontaine,4,935.12,0.15,3179.41,2407.12,Pending
ORD-104575,2023-01-09,SKU-1097,Storage,UKI,Direct,SMB,Fatima Bennett,2,176.34,0.05,335.05,266.7,Returned
ORD-101230,2023-01-10,SKU-1027,Monitors,NA-W,Partner,Enterprise,Amara Dahl,3,487.06,0,1461.18,994.68,Shipped
ORD-102669,2023-01-10,SKU-1099,Storage,NA-E,Retail,SMB,Uma Sandoval,4,881.67,0,3526.68,2375.56,Shipped
ORD-103290,2023-01-10,SKU-1089,Storage,APAC-S,Direct,Mid-Market,Yusuf Mbeki,1,512.43,0.25,384.32,339.7,Returned
ORD-104180,2023-01-10,SKU-1027,Monitors,NA-E,Online,SMB,Petra Ibrahim,1,487.06,0.05,462.71,331.56,Pending
ORD-104631,2023-01-10,SKU-1014,Laptops,LATAM,Partner,Enterprise,Ada Vargas,3,1949.83,0,5849.49,3964.53,Shipped
ORD-101850,2023-01-11,SKU-1021,Monitors,NORDIC,Direct,Mid-Market,Rania Kaur,1,444.75,0,444.75,303.16,Pending
ORD-101898,2023-01-11,SKU-1031,Monitors,UKI,Online,Mid-Market,Wei Tanaka,4,953.0,0,3812.0,2671.32,Shipped
ORD-104029,2023-01-11,SKU-1015,Laptops,UKI,Direct,Enterprise,Amara Dahl,9,1315.81,0.25,8881.72,8322.21,Shipped
ORD-102505,2023-01-12,SKU-1106,Accessories,APAC-S,Partner,Enterprise,Nikolai Jensen,8,179.48,0.05,1364.05,650.96,Shipped
ORD-103696,2023-01-12,SKU-1058,Peripherals,LATAM,Partner,SMB,Greta Haddad,1,410.18,0.25,307.63,221.87,Returned
ORD-100516,2023-01-13,SKU-1036,Monitors,APAC-S,Online,Consumer,Fatima Bennett,1,1180.66,0.05,1121.63,767.33,Pending
ORD-101196,2023-01-13,SKU-1050,Peripherals,NA-W,Direct,SMB,Wei Tanaka,1,335.4,0,335.4,189.69,Shipped
ORD-103345,2023-01-13,SKU-1034,Monitors,NA-E,Direct,SMB,Ada Vargas,12,511.32,0,6135.84,3788.64,Pending
ORD-104108,2023-01-13,SKU-1102,Accessories,NA-E,Online,Consumer,Petra Ibrahim,4,198.44,0,793.76,369.04,Shipped
ORD-104172,2023-01-13,SKU-1052,Peripherals,NORDIC,Online,Mid-Market,Thea Zhang,3,310.49,0,931.47,477.84,Shipped
ORD-104330,2023-01-13,SKU-1019,Laptops,NA-E,Partner,Enterprise,Zara Fontaine,1,1704.93,0.15,1449.19,1175.47,Shipped
ORD-101394,2023-01-14,SKU-1110,Accessories,DACH,Online,SMB,Yusuf Mbeki,4,50.0,0.05,190.0,95.92,Shipped
ORD-101423,2023-01-14,SKU-1027,Monitors,NA-E,Partner,SMB,Rania Kaur,4,487.06,0.05,1850.83,1326.24,Pending
ORD-101877,2023-01-14,SKU-1044,Peripherals,LATAM,Direct,Mid-Market,Zara Sorensen,3,42.05,0,126.15,63.84,Shipped
ORD-102246,2023-01-14,SKU-1079,Networking,NA-E,Online,SMB,Nikolai Jensen,1,453.79,0,453.79,286.76,Shipped
ORD-104519,2023-01-14,SKU-1109,Accessories,UKI,Direct,SMB,Bruno Zhang,10,131.89,0,1318.9,594.3,Pending
ORD-100900,2023-01-15,SKU-1087,Storage,APAC-N,Partner,SMB,Wei Tanaka,5,222.44,0.25,834.15,754.05,Shipped
ORD-100904,2023-01-15,SKU-1030,Monitors,NA-E,Online,Mid-Market,Elena Laurent,4,756.24,0.15,2571.22,2088.8,Shipped
ORD-103268,2023-01-15,SKU-1119,Accessories,APAC-S,Direct,SMB,Yara Eriksen,1,84.73,0.1,76.26,41.56,Returned
